listed_title,matched,source,already_in_66
Continuous model calibration framework for smart-building digital twin: A generative model-based approach,Yes,old_screened_converted,No
Thermal Model Validation of a Power Electronics Module for Digital Twin Application,Yes,screening_level3_included,Yes
From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,Yes,old_screened_converted,No
DIGITAL TWIN VALIDATION FOR SHOULDER JOINT BIOMECHANICAL SIMULATION,Yes,screening_level3_review,No
Methodology for enabling dynamic digital twins and virtual model evolution in industrial robotics - a predictive maintenance application,Yes,screening_level3_included,Yes
Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,Yes,old_screened_converted,No
Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,Yes,old_screened_converted,No
Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,Yes,old_screened_converted,No
Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,Yes,old_screened_converted,No
Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,Yes,old_screened_converted,No
DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,Yes,old_screened_converted,No
Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,Yes,old_screened_converted,No
Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,Yes,old_screened_converted,No
Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,Yes,old_screened_converted,No
System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,Yes,old_screened_converted,No
"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data",Yes,old_screened_converted,No
Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,Yes,old_screened_converted,No
Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,Yes,old_screened_converted,No
