classification_source,source_screening_id,screening_id,record_key,title,year,authors,first_author,source_title,document_type,language,doi,scopus_url,abstract,author_keywords,index_keywords,level_3_fulltext_decision,manual_level3_decision,manual_level3_note,object_class_decision,object_class_label,object_class_note
old_screened_converted,OLD0001,OLDOBJ0001,OLDOBJ0001,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0002,OLDOBJ0002,OLDOBJ0002,Mechanics-based digital twin model for structural construction using 3D scanning and FE model updating,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0003,OLDOBJ0003,OLDOBJ0003,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0004,OLDOBJ0004,OLDOBJ0004,Fluidised bed membrane reactor for ultrapure hydrogen production via methane steam reforming: Experimental demonstration and model validation,2007,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0005,OLDOBJ0005,OLDOBJ0005,Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,2013,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0006,OLDOBJ0006,OLDOBJ0006,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0007,OLDOBJ0007,OLDOBJ0007,Enhancing structural damage evaluation of PC girder bridges through digital twinning Bayesian model updating,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0008,OLDOBJ0008,OLDOBJ0008,Digital twin - based model updating method for mechanical behaviors analysis of cable truss structure,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0009,OLDOBJ0009,OLDOBJ0009,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0010,OLDOBJ0010,OLDOBJ0010,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
